,"Space group (0-bcc, 1-fcc)",1_0_0 surface energy,1_1_0 surface energy,1_1_1 surface energy,2_1_0 surface energy,2_1_1 surface energy,2_2_1 surface energy,3_1_0 surface energy,3_1_1 surface energy,3_2_0 surface energy,3_2_1 surface energy,3_2_2 surface energy,3_3_1 surface energy,3_3_2 surface energy,c_1_1 elastic constant,c_1_2 elastic constant,c_1_3  elastic constant,c_4_4  elastic constant,Shear modulus,Bulk modulus,Cohesive energy,Vacancy formation energy
129,1.0,1.4571635450781852,1.64882800873795,1.3602518894086264,1.7369569113747687,1.5893498243879562,1.5612422050841177,1.687058672868779,1.7143974351065034,1.723109795737648,1.6751831845359668,1.5595547232018976,1.6074108714072584,1.554326020770011,260.7,150.5,150.5,131.4,100.9,187.2,4.4589975,1.4214026000000084
130,1.0,1.4571599150305683,1.6488295364376466,1.3602498237104645,1.736954618033865,1.589495872153162,1.5565617559698823,1.6879053479322805,1.6392355969134698,1.722682340086266,1.6763290778341988,1.516093991539316,1.6067361598210046,1.5450054344782822,260.7,150.5,150.5,131.4,100.9,187.2,4.4589975,1.4214026000000084
131,1.0,1.4118837587601256,1.584551038060489,1.280779853064192,1.6992147672746114,1.5119666773421476,1.486520899039777,1.6480777386705685,1.6538763269161358,1.674588415666783,1.6099918160851268,1.474748751024694,1.651353753453204,1.4743240632912258,247.0,147.3,147.3,122.8,93.6,180.5,4.38550875,1.7577911999997262
132,1.0,1.3880682768631702,1.5028634331827841,1.2325988914265313,1.5771662747455966,1.440600049018549,1.4184676303566583,1.5485524529954662,1.4862051179990792,1.5632509456416461,1.5196100647449289,1.4105232414747815,1.4623959020253794,1.4384057127181484,110.1,76.9,76.9,64.3,45.2,88.0,6.438777,2.2089340000000606
133,0.0,1.1831950630535437,1.2907057908935178,1.6057206227050649,1.0644659083701133,1.378968638450845,1.5377907053601818,0.9541194337841921,1.47304405284095,1.1598094806447432,1.5000793325460018,1.5669058191560206,1.4744889712154878,1.571807209977866,95.6,108.8,108.8,41.7,22.4,104.4,6.4175545,0.528834000000022
134,1.0,1.4118837587601256,1.584551038060489,1.280779853064192,1.6992147672746114,1.5119666773421476,1.486520899039777,1.6480777386705685,1.6538763269161358,1.674588415666783,1.6099918160851268,1.474748751024694,1.651353753453204,1.4743240632912258,247.0,147.3,147.3,122.8,93.6,180.5,4.38550875,1.7577911999997262
135,1.0,1.3880682768631702,1.5028634331827841,1.2325988914265313,1.5771662747455966,1.440600049018549,1.4184676303566583,1.5485524529954662,1.4862051179990792,1.5632509456416461,1.5196100647449289,1.4105232414747815,1.4623959020253794,1.4384057127181484,110.1,76.9,76.9,64.3,45.2,88.0,6.438777,2.2089340000000606
136,0.0,1.1831950630535437,1.2907057908935178,1.6057206227050649,1.0644659083701133,1.378968638450845,1.5377907053601818,0.9541194337841921,1.47304405284095,1.1598094806447432,1.5000793325460018,1.5669058191560206,1.4744889712154878,1.571807209977866,95.6,108.8,108.8,41.7,22.4,104.4,6.4175545,0.528834000000022
137,1.0,1.4118837587601256,1.584551038060489,1.280779853064192,1.6992147672746114,1.5119666773421476,1.486520899039777,1.6480777386705685,1.6538763269161358,1.674588415666783,1.6099918160851268,1.474748751024694,1.651353753453204,1.4743240632912258,247.0,147.3,147.3,122.8,93.6,180.5,4.38550875,1.7577911999997262
138,1.0,1.3880682768631702,1.5028634331827841,1.2325988914265313,1.5771662747455966,1.440600049018549,1.4184676303566583,1.5485524529954662,1.4862051179990792,1.5632509456416461,1.5196100647449289,1.4105232414747815,1.4623959020253794,1.4384057127181484,110.1,76.9,76.9,64.3,45.2,88.0,6.438777,2.2089340000000606
139,0.0,1.1831950630535437,1.2907057908935178,1.6057206227050649,1.0644659083701133,1.378968638450845,1.5377907053601818,0.9541194337841921,1.47304405284095,1.1598094806447432,1.5000793325460018,1.5669058191560206,1.4744889712154878,1.571807209977866,95.6,108.8,108.8,41.7,22.4,104.4,6.4175545,0.528834000000022
140,1.0,2.873506540722285,2.906723945581786,2.677480778954879,2.997205714840222,3.0288593193951643,2.933911612480336,3.0224025510418944,3.057208705889248,2.996050284589775,2.9973687654709,2.9037457875761126,2.945044021117598,2.8865811549577796,599.7,225.9,225.9,233.7,215.0,350.5,6.71238625,1.7532624999999884
141,0.0,0.6420917817229795,0.6029208208091373,1.2401452047864268,0.7065114778994377,1.1401401800466247,1.1891506151386533,0.8415504512643331,1.1779661761516809,0.6690810851657196,1.1706072770169167,1.2183909143912794,1.1480000140784687,1.2148404249230984,121.8,123.0,123.0,97.8,58.4,122.6,4.80745975,1.5152256666666721
142,1.0,1.0561917996772106,1.190636489512212,1.5299963632888547,1.2530777816734873,1.2841612839190157,1.1259427366122012,1.2177507350027137,1.2131207349733222,1.2431472710492217,1.2088045613504617,1.1468055009530804,1.1612711227878827,1.114821849860609,153.5,90.4,90.4,66.4,52.5,111.4,4.8391045,1.5149256666667474
143,0.0,2.1555593995706146,1.793938219185564,2.2403277952665026,2.0631749509693362,2.070486739715456,2.106773445369012,2.123053603171778,2.1429345413399172,1.9802207485551055,2.082362199881643,2.15798994966689,2.021819463247573,2.1669169855154586,227.9,119.7,119.7,42.4,47.1,155.8,5.016153,2.4942469999998904
144,1.0,1.552308502661381,1.696851437169649,1.4054880493241901,1.7783858901400509,1.6989394060248668,1.6078508974920647,1.747538269201285,1.6827277755246413,-0.15322047484394777,1.7130085397268084,1.6266544827169158,1.6611725277447777,1.589277964630164,85.0,49.5,49.5,21.1,19.8,61.3,3.89240225,1.6437177000000007
145,0.0,1.7627595072557525,1.6176419455410114,1.966118263313885,1.7986474617603099,1.8615187112493912,1.8969416495535445,1.8281543320275004,1.8958404600783485,1.7468026130626788,1.8600329926555796,1.9306175033472979,1.8300943572522608,1.9364283128931707,243.4,145.1,145.1,116.2,89.4,177.9,4.0129823,1.720917700000176
146,1.0,2.627867010811932,2.829634225667781,2.201438065957017,3.020481573660869,2.6679571400069673,2.599297268828159,2.963078778655983,2.7950281882107757,2.98287115036768,2.825084390117588,2.5739444481886045,2.7045545878373405,2.6589495526914555,482.1,138.0,138.0,104.9,131.8,252.7,8.60419,3.2978002000001343
