,Potential,Element,1_0_0 surface energy,1_1_0 surface energy,1_1_1 surface energy,2_1_0 surface energy,2_1_1 surface energy,2_2_1 surface energy,3_1_0 surface energy,3_1_1 surface energy,3_2_0 surface energy,3_2_1 surface energy,3_2_2 surface energy,3_3_1 surface energy,3_3_2 surface energy,c_1_1 elastic constant,c_1_2 elastic constant,c_1_3  elastic constant,c_4_4  elastic constant,Shear modulus,Bulk modulus,Cohesive energy,Vacancy formation energy
0,Ag.eam.alloy,Ag,0.948561894309852,1.0241355577127937,0.8649254041607916,1.070157880978304,0.9980818333704972,0.9809014833740319,1.0551431125093713,1.043093284868875,1.0646180948481327,1.0380667770745888,0.975697089221395,1.00758041190243,0.9713394447539859,124.2,93.9,93.9,46.4,33.9,104.0,2.85,1.1019700000000738
1,Al03.eam.alloy,Al,0.6044814315114068,0.7864986347292046,0.5934390693273982,0.8428200731270448,0.7536610313833361,0.7299731249253232,0.7893706818916691,0.8130838154811513,0.8316447460690666,0.8146123644904344,0.723915120778089,0.7724269823634649,0.7174876018852182,116.8,60.1,60.1,31.7,30.4,79.0,3.36,0.7074999999998819
2,Al03.eam.alloy,Al,0.6044814315114018,0.7864986347291792,0.5934390693273706,0.8428200731267484,0.8201136704789084,0.7300037061986756,0.7893706818916041,0.825850509943672,0.8348788521932868,0.8146309273492133,0.723737274023927,0.8479283636253636,0.7174733487592435,116.8,60.1,60.1,31.7,30.4,79.0,3.36,0.7069200000000957
3,Al99.eam.alloy,Al,0.9489172391049876,1.0130935148920028,0.874775844693407,1.0530301234671342,0.998492212796583,1.0576753835837538,1.0424162452183796,1.0188682323732328,1.0506918283329085,1.033424836250851,0.962352013010997,1.006455475357917,0.9739852653314485,113.8,61.6,61.6,31.6,29.4,79.0,3.36,0.6737299999999915
4,AlCu.eam.alloy,Al,0.5840378854592232,0.6308101753377927,0.5259760957321594,0.6622803855698065,0.608787249238352,0.5990464463332337,0.6516495851242399,0.6274838582041911,0.6571844763540299,0.6370029518469609,0.5952373930641895,0.6159994712358324,0.5930589993638701,90.1,70.7,70.7,33.1,23.7,77.2,3.31831725,0.717002799999956
5,AlCu.eam.alloy,Cu,1.260764869064518,1.3606125465395988,1.169974749874266,1.4160555365497354,1.3337967190868616,1.3124321583077658,1.3990603951416738,1.3565943550786808,1.4107804567854136,1.3813396344182383,1.3034562933164258,1.3430841352918261,1.271137308946186,168.3,127.0,127.0,75.1,53.3,140.8,3.52456775,1.2742323000000284
6,alpb-setfl.eam.alloy,Al,0.9522937411056818,1.0442448608099661,0.8810140569610289,1.0865860933981262,1.0706035672958705,1.004251840927992,1.068335291458991,1.056792532152032,1.0851759323838917,1.064483593800955,1.0010072194144228,1.0342971974758306,0.9677775153453553,107.9,56.9,56.9,32.9,29.9,73.9,3.35928,0.6720199000001013
7,alpb-setfl.eam.alloy,Al,0.9522937411057019,1.0442448608099215,1.339422304251177,1.0865860933979332,1.070715483603472,1.0042159953218301,1.0683352914591084,1.0969730647308351,1.0851759323837824,1.0648003592004587,1.0150043847153016,1.148812447290375,0.9931087699699134,107.9,56.9,56.9,32.9,29.9,73.9,3.35928,0.6716299000000627
8,alpb-setfl.eam.alloy,Pb,0.5697556852740807,0.6599558403209101,0.5795400677840327,0.6648304157521322,0.6676499387349697,0.6393766691043665,0.6363769501234844,0.6448578414626429,0.6686590481511037,0.6655762611948699,0.6310909272614734,0.6510857057000212,0.6349720582502527,44.0,36.7,36.7,7.2,5.8,39.1,2.030003925,0.30718610000007773
9,Al_zhou.eam.alloy,Al,0.8690930258494773,0.9578238501356023,0.8325724288085857,0.9924831429574675,0.9870897770265173,1.00311576035621,0.9771257044092767,0.9625015211756706,0.9914059909183353,0.9809935036651166,0.9131210744057997,0.9558198404166306,0.9040783164923356,127.1,81.4,81.4,36.4,31.0,96.6,3.57999875,0.7150713000000097
10,Au-Grochola-JCP05.eam.alloy,Au,1.3058269228050285,1.5436253649960934,1.1937097757496518,1.6171325438894104,1.5316971947929625,1.5669915926560203,1.5537870357754524,1.504888387486088,1.6026601851941662,1.5455053104107213,1.4404830177608188,1.4912568789892258,1.3925884970621116,201.6,169.5,169.5,46.0,34.0,180.2,3.924218,1.1283520999999461
11,CoAl.eam.alloy,Co,1.1913920807365581,1.3354156723178667,1.79565385227185,1.4424072327902528,1.3383868065941278,1.3685201725210732,1.3955587541334011,1.4968649898544195,1.417359524705614,1.333432453661863,1.191864644841406,1.4885184866333483,1.1872955001035852,236.5,165.7,165.7,148.9,103.5,189.3,4.383116,1.437567649999873
12,CoAl.eam.alloy,Al,0.8616990527483612,0.9688876717511617,0.8297307851825951,1.009581236806626,0.9450678996099726,0.9341751970248515,0.9842189314422274,0.9660210317705443,1.0053644784232778,0.986780011863659,0.949174008937998,0.9583178390728817,0.9271637579464186,95.5,78.5,78.5,19.1,14.9,84.2,3.368458,0.631641999999975
13,CoAl.eam.alloy,Al,0.861699052748544,0.9688876717515764,0.8297307851827475,1.009581236807025,0.9445907327723153,0.9341593975154572,0.9842189314419918,1.058166642083968,1.0052080824136231,0.9878625628241876,0.9474224859027548,0.955669484673724,0.927168369262457,95.5,78.5,78.5,19.1,14.9,84.2,3.368458,0.631542
14,Co_PurjaPun_2012.eam.alloy,Co,2.4866478615939136,2.6125950771865547,2.3337023399950962,2.6968369073812344,2.7530008242835797,2.633052793813552,2.729626710197229,2.8354234354094228,2.7169251333398337,2.7400210901510977,2.608758150294027,2.683607814717123,2.5988657910615403,275.8,159.0,159.0,108.2,88.3,197.9,4.3848785,1.553545699999809
15,CuAg.eam.alloy,Cu,1.355675333565133,1.4854039787953766,1.2431609028620132,1.5542163493689745,1.5135276343074473,1.4173260642931564,1.5290361345466452,1.5481159557558752,1.5455893991512497,1.507220771765835,1.4073129223333336,1.455956770280903,1.4029731598610244,169.9,122.6,122.6,76.2,55.2,138.4,3.54,1.271999999999898
16,CuAg.eam.alloy,Ag,0.9485618942053611,1.0241355563888779,0.8649254038181272,1.0701578808631753,0.9963205800656952,1.0581215538430582,1.0551431125350292,1.0213230420775268,1.064860099066223,1.039985018655366,0.9763116235687258,1.0075828611584916,0.9466539021522781,124.2,93.9,93.9,46.4,33.9,104.0,2.85,1.1019700000000738
17,cu_ag_ymwu.eam.alloy,Cu,1.0246688115434615,1.1359269814439528,0.9308146160512007,1.192430406345546,1.1540335201688636,1.073913751302629,1.1653287714860956,1.1282515308626657,1.18482095131372,1.1486857447497478,1.0650855621054702,1.1103797080462492,1.0302981841125942,119.4,89.9,89.9,49.7,35.7,99.7,3.3206665,0.8419335000001111
18,cu_ag_ymwu.eam.alloy,Ag,0.9486069197798981,1.0241431964989152,1.2869155247669009,1.070145625733081,1.0434116090105847,0.9809581099105528,1.055114823287281,1.0663648686203688,1.0646031155855147,1.0383984723896578,0.9771223110768098,1.1138447904232762,0.9706489115745895,115.8,88.2,88.2,44.3,32.1,97.4,2.849997,1.1020530999999858
19,Cu_mishin1.eam.alloy,Cu,1.3557417737889432,1.72626615422188,1.2432218463346723,1.5543049982977144,1.4405995400781417,1.4172181307685003,1.5291190204950074,1.479407253719238,1.545675932067995,1.5102394668193073,1.405186518752621,1.4583924976216545,1.3661438788489166,169.9,122.6,122.6,76.2,55.2,138.4,3.54021825,1.2719816999998481
20,Cu_mishin1.eam.alloy,Cu,1.3557417737891229,1.4854901844002857,1.8704904491624157,1.5543049982973358,1.5123457042230408,1.4172089657954816,1.528482096028843,1.4793356631156345,1.545965925821849,1.5095392791212605,1.3790806255010997,1.4583856509714108,1.4418209596530855,169.9,122.6,122.6,76.2,55.2,138.4,3.54021825,1.2719817000000755
21,Cu_zhou.eam.alloy,Cu,1.51805453971841,1.6472245231060694,1.4497967436899724,1.708111646559806,1.6347719248214063,1.612223191547694,1.691597824171588,1.7245541845534011,1.7056170400687953,1.6898302001612986,1.6044950586393394,1.6420602706080245,1.5989277897073948,180.4,117.1,117.1,70.7,55.1,138.2,3.5398035,1.3198965000002025
